PM2.5,PM10,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5*,PM10*,SO2*,NO2*,CO*,O3*,CO,O3,SO2,NO2
4,4,-0.7,1025.1,-22.1,0,3.9,9,9,3,17,300,89,300,88,3,16
7,7,-1.2,1025.3,-24.6,0,5.3,4,4,3,16,300,88,300,60,NA,17
3,3,-1.4,1026.2,-25.5,0,4.9,7,7,NA,17,300,60,NA,NA,5,18
3,3,-1.9,1027.1,-24.5,0,3.2,3,3,5,18,NA,NA,200,84,7,NA
4,4,-2.4,1027.5,-21.3,0,2.4,3,3,7,NA,200,84,300,78,9,25
5,5,-2.5,1028.2,-20.4,0,2.2,4,4,9,25,300,78,400,67,10,29
3,6,-1.4,1029.5,-20.4,0,3,5,5,10,29,400,67,400,52,12,40
3,6,-0.3,1030.4,-21.2,0,4.6,3,6,12,40,400,52,500,54,12,41
3,6,0.4,1030.5,-23.3,0,5.5,3,6,12,41,500,54,400,69,9,31
3,6,1.4,1030.2,-22.5,0,5.2,3,6,9,31,400,69,300,82,7,19
6,6,2.9,1029.8,-22.9,0,5.3,3,6,7,19,300,82,400,83,7,19
3,6,4,1028.6,-21.2,0,4.6,6,6,7,19,400,83,300,86,6,18
3,6,5,1027.8,-21.2,0,4.5,3,6,6,18,300,86,300,91,5,16
3,6,6.2,1027.6,-22.2,0,4,3,6,5,16,300,91,300,92,5,16
3,10,6,1027.7,-21.3,0,2.1,3,6,5,16,300,92,300,92,5,17
9,17,5.6,1027.7,-20.7,0,1.8,3,10,5,17,300,92,300,91,6,19
9,22,4.4,1028.2,-20.9,0,3.5,9,17,6,19,300,91,400,87,9,21
11,23,3.2,1029.4,-20.3,0,0.5,9,22,9,21,400,87,400,79,8,28
13,17,3,1030.1,-19.7,0,1.1,11,23,8,28,400,79,600,63,12,42
5,13,1.6,1031.3,-19,0,1.2,13,17,12,42,600,63,500,64,9,38
15,17,0.8,1032.4,-19.7,0,1,5,13,9,38,500,64,600,48,13,51
19,21,0.1,1032.9,-19.2,0,1.8,15,17,13,51,600,48,700,36,17,60
8,14,-0.5,1032.8,-19.7,0,2.1,19,21,17,60,700,36,600,39,16,58
4,11,-0.7,1033,-18.3,0,0.6,8,14,16,58,600,39,500,52,11,45
3,6,-1.6,1033.2,-17.4,0,0,4,11,11,45,500,52,500,53,11,43
3,6,-2.2,1032.9,-16.7,0,0,3,6,11,43,500,53,400,61,10,36
3,6,-3.1,1032.6,-15.8,0,0,3,6,10,36,400,61,500,46,11,41
3,6,-3.1,1032.7,-16.1,0,0,3,6,11,41,500,46,400,60,9,31
9,9,-2.4,1032.1,-18.1,0,0.8,3,6,9,31,400,60,500,62,10,32
3,6,-2.3,1031.3,-18.4,0,1.5,9,9,10,32,500,62,600,30,15,59
13,13,-1.9,1031.9,-18.5,0,1.4,3,6,15,59,600,30,600,47,14,45
3,6,-0.9,1031.7,-18,0,1.6,13,13,14,45,600,47,600,43,19,48
3,6,0.1,1031.7,-18.1,0,0.5,3,6,19,48,600,43,500,44,24,49
3,7,1.5,1031.2,-18,0,0.6,3,6,24,49,500,44,600,36,24,55
4,14,2.6,1030.2,-18.2,0,3.1,3,7,24,55,600,36,700,34,18,54
17,22,3.8,1029,-17.8,0,1.1,4,14,18,54,700,34,1100,32,18,61
23,29,3.8,1027.6,-17.8,0,1,17,22,18,61,1100,32,800,39,19,54
32,34,3.9,1026.8,-18.3,0,0.4,23,29,19,54,800,39,700,47,18,48
35,37,4.3,1026.2,-18,0,1.5,32,34,18,48,700,47,900,49,25,49
42,52,4.1,1025.4,-16.9,0,1.9,35,37,25,49,900,49,1300,41,43,60
54,69,3.2,1025.3,-16,0,1.3,42,52,43,60,1300,41,1100,40,41,62
56,82,2.2,1025.4,-15.8,0,0.4,54,69,41,62,1100,40,1100,37,43,63
63,92,1.6,1025,-15.4,0,0.1,56,82,43,63,1100,37,1200,27,45,72
71,98,0.7,1025,-15.3,0,1,63,92,45,72,1200,27,1899,17,46,80
79,111,0.5,1024.8,-15.1,0,0.2,71,98,46,80,1899,17,1800,6,61,95
98,121,-1,1024.2,-14.6,0,0,79,111,61,95,1800,6,2299,2,71,112
108,131,-1.3,1023.2,-14.5,0,0,98,121,71,112,2299,2,2600,2,73,110
115,141,-2.2,1022.3,-12.8,0,0,108,131,73,110,2600,2,2700,2,70,111
127,152,-1.8,1021.4,-13.3,0,0.7,115,141,70,111,2700,2,2600,2,65,109
132,151,-2.4,1020.4,-13.3,0,1.3,127,152,65,109,2600,2,2399,2,64,107
124,133,-3.3,1019.4,-12.5,0,1.2,132,151,64,107,2399,2,2399,2,83,104
112,118,-4.2,1019,-12.6,0,0.1,124,133,83,104,2399,2,2399,2,92,105
101,107,-5.2,1018.5,-11.6,0,0.9,112,118,92,105,2399,2,2299,2,74,99
88,105,-5.4,1018.3,-11.3,0,0,101,107,74,99,2299,2,2500,2,80,94
98,113,-3.3,1018.6,-9.8,0,0.1,88,105,80,94,2500,2,2899,2,82,100
97,124,1.2,1018.1,-13.7,0,0.8,98,113,82,100,2899,2,2799,2,79,95
95,115,4,1017.6,-13.4,0,0.6,97,124,79,95,2799,2,2399,3,102,95
91,112,6.8,1016.7,-13.5,0,1.1,95,115,102,95,2399,3,2200,10,102,98
98,123,9.5,1015.6,-13.7,0,0.5,91,112,102,98,2200,10,2500,14,83,104
107,134,13.4,1014.4,-13.6,0,1.8,98,123,83,104,2500,14,2600,17,70,111
114,130,15.5,1013,-13.8,0,4,107,134,70,111,2600,17,1800,38,43,85
81,104,16.4,1012.4,-15.4,0,7,114,130,43,85,1800,38,1000,68,19,46
49,80,16.6,1012,-15.2,0,4.7,81,104,19,46,1000,68,500,94,7,17
28,66,15.8,1012.2,-14.7,0,1.3,49,80,7,17,500,94,700,82,14,33
41,106,12.6,1013,-13.4,0,1.3,28,66,14,33,700,82,1000,67,24,60
58,106,9.9,1014.1,-10.3,0,1,41,106,24,60,1000,67,1200,50,26,74
87,212,6.8,1014.9,-9.6,0,0,58,106,26,74,1200,50,2000,17,58,127
142,274,5.2,1015.2,-8.3,0,0,87,212,58,127,2000,17,2299,4,56,136
152,202,4,1015.4,-9.1,0,0.2,142,274,56,136,2299,4,2399,2,45,122
143,149,2.7,1015.8,-8.4,0,0.4,152,202,45,122,2399,2,2299,2,29,107
80,101,7.1,1016.7,-12.2,0,0.4,143,149,29,107,2299,2,3299,2,32,104
68,110,9.9,1017.5,-14.1,0,4.9,80,101,32,104,3299,2,4000,3,46,109
61,89,9.3,1018.4,-13.9,0,3.6,68,110,46,109,4000,3,900,22,21,58
43,48,8.4,1018.7,-13.9,0,1.5,61,89,21,58,900,22,NA,94,6.2832,20.1194
13,19,7.4,1018.6,-14.2,0,3.6,43,48,6.2832,20.1194,NA,94,400,84,3,14
6,13,6.2,1019.6,-15.2,0,2.7,13,19,3,14,400,84,500,65,8,28
7,19,6,1020.1,-14.2,0,2.4,6,13,8,28,500,65,600,40,13,48
9,23,4.2,1020.8,-12.7,0,2,7,19,13,48,600,40,800,27,18,61
10,31,7.2,1021.5,-12.6,0,3.2,9,23,18,61,800,27,900,8,26,82
11,34,8.6,1022.3,-14.4,0,2.8,10,31,26,82,900,8,1100,14,27,76
15,25,9.9,1022.6,-14.8,0,2.4,11,34,27,76,1100,14,700,55,18,40
3,7,11.5,1022.3,-14.3,0,0,15,25,18,40,700,55,600,72,14,30
